repo,url,stars,forks,open_issues,github_language,created_at,pushed_at,license,topics,via,description,is_agent,agent_verdict,agent_type,agent_confidence,agent_evidence_tier,has_llm,has_agent_loop,has_tool_calling,has_mcp,has_workflow,has_multi_agent,has_memory,has_streaming,effect_depth,effect_evidence,effect_deps,effect_capabilities,uses_effect_ai,effect_files
millionco/expect,https://github.com/millionco/expect,3553,156,23,TypeScript,2026-03-12T05:58:06Z,2026-05-06T07:58:53Z,NOASSERTION,agent|browser|expect|test,TypeScript:agent:stars>=600,Expect tests your agent's code in a real browser,true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,false,true,true,L4,tarball,@effect/atom-react|@effect/platform-node|@effect/platform-node-shared|effect,gen|service|error|concurrency|primitives|stream|schema|resource|config|platform|observability|cluster,false,82
athasdev/athas,https://github.com/athasdev/athas,3055,254,1,TypeScript,2025-06-21T13:14:47Z,2026-09-13T23:04:40Z,NOASSERTION,athas|code-editor|cross-platform|editor|ide|lightweight|react|rust|tauri|text-editor|vim|wasm,"TypeScript:""AI agent""|TypeScript:agent:stars>=600","A lightweight, cross-platform code editor, built with Tauri (Rust and React) with Git support, AI agents, vim keybindings.",true,agent,multi-agent,0.72,paths,true,true,true,false,false,true,false,true,L3,tarball,effect,gen|error,false,2
coder/xum,https://github.com/coder/xum,2016,134,262,TypeScript,2025-09-17T15:45:53Z,2026-09-14T00:35:51Z,AGPL-3.0,agent|ide,TypeScript:agent:stars>=600,"A desktop app for isolated, parallel agentic development",true,agent,coding-agent,0.85,manifest,true,true,true,false,true,false,true,true,L4,tarball,effect,gen|service|error|concurrency|primitives|stream|schema|resource|config|cluster,false,40
steipete/birdclaw,https://github.com/steipete/birdclaw,1652,160,1,TypeScript,2026-03-08T19:43:00Z,2026-09-14T02:05:42Z,MIT,,TypeScript:agent:stars>=600,Stores all your tweets nicely claw-able for agents.,true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,false,false,true,L3,tarball,effect,gen|error|resource,false,88
cyberpapiii/chipotlai-max,https://github.com/cyberpapiii/chipotlai-max,1556,96,12,TypeScript,2026-03-16T20:29:31Z,2026-06-03T18:29:23Z,NOASSERTION,,TypeScript:agent:stars>=600,"The AI coding agent that runs on stolen Chipotle compute 🌯 Fork of OpenCode with Pepper AI as default model. Community project to add providers from Home Depot, Lowes, Target, Starbucks & more.",true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,false,true,true,L4,tarball,effect,gen|service|error|concurrency|primitives|schema|resource|config,false,30
amicalhq/amical,https://github.com/amicalhq/amical,1530,139,57,TypeScript,2025-05-08T22:08:58Z,2026-09-13T11:27:49Z,MIT,ai|ai-note-taking-app|asr|dictate|dictation|dictation-tool|electron|local-ai|macos|mcp|meeting-notes|nextjs|ollama|productivity|self-hosted|speech-to-text|transcription|whisper|windows,TypeScript:mcp,"🎙️ AI Dictation App - Open Source and Local-first ⚡ Type 3x faster, no keyboard needed. 🆓 Powered by open source models, works offline, fast and accurate.",true,agent,workflow-agent,0.8,manifest,true,true,false,false,true,false,false,true,L2,tarball,effect,gen|service|error|concurrency|primitives|resource|observability,false,63
aws-samples/bedrock-chat,https://github.com/aws-samples/bedrock-chat,1323,535,135,TypeScript,2023-08-22T05:49:30Z,2026-09-09T02:40:13Z,MIT-0,aws|bedrock|chatbot|claude|docker|fastapi|generative-ai|lambda|llm|python|react|streaming-response|websockets,TypeScript:chatbot|TypeScript:llm,AWS-native chatbot using Bedrock,true,agent,single-agent,0.72,paths,true,true,true,false,false,false,false,true,L3,tarball,effect,gen,false,1
LodyAI/Lody,https://github.com/LodyAI/Lody,1049,120,156,TypeScript,2026-08-07T02:09:16Z,2026-09-14T02:23:44Z,Apache-2.0,agent|agentic-workflow|coding-agent|collaboration|local-first|multi-agent|multiplayer|orchestration|vibe-coding,TypeScript:agent:stars>=600|TypeScript:multi-agent,Share coding agents with your team on phone and desktop,true,agent,mcp-agent,0.99,manifest,true,true,true,true,true,false,false,true,L4,tarball,effect,gen|service|error|concurrency|primitives|schema|resource,false,22
AltimateAI/altimate-code,https://github.com/AltimateAI/altimate-code,811,134,297,TypeScript,2026-02-27T00:57:01Z,2026-09-12T14:22:34Z,MIT,agent|agentic-data-engineering|ai|analytics-engineering|bigquery|cli|data-engineering|databricks|dbt|finops|harness-engineering|lineage|llm|opencode|postgresql|snowflake|sql|workflow-automation-ai,TypeScript:agent:stars>=600|TypeScript:harness|TypeScript:llm,"Open-source agentic data engineering harness for dbt, SQL, and cloud warehouses. 100+ tools, 10 warehouses, AI-powered.",true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,false,true,true,L4,tarball,@effect/opentelemetry|@effect/platform-node|@effect/platform-node-shared|@effect/sql-sqlite-bun|effect,gen|service|error|concurrency|primitives|stream|schema|resource|config|platform|httpapi|sql|observability|cluster,false,894
FrancescoStabile/numasec,https://github.com/FrancescoStabile/numasec,779,95,6,TypeScript,2026-02-02T11:31:26Z,2026-05-08T22:41:59Z,AGPL-3.0,ai-agent|ai-security|appsec|bug-bounty|cli|cybersecurity|dast|devsecops|ethical-hacking|llm|mcp|mcp-tools|owasp|penetration-testing|red-team|security-automation|security-testing|typescript|vulnerability-scanner|web-security,"TypeScript:""AI agent""|TypeScript:agent:stars>=600|TypeScript:llm|TypeScript:mcp",The AI Agent for Cyber Security.,true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,false,true,true,L4,tarball,@effect/opentelemetry|@effect/platform-node|effect,gen|service|error|concurrency|primitives|stream|schema|resource|config|platform|httpapi|observability|cluster,false,250
joelhooks/swarm-tools,https://github.com/joelhooks/swarm-tools,735,65,41,TypeScript,2025-12-08T03:01:51Z,2026-07-30T22:04:43Z,,ai-agents|machine-learning|multi-agent|opencode|swarm,TypeScript:agent:stars>=600|TypeScript:multi-agent,"🐝 Multi-agent swarm coordination for OpenCode with learning capabilities, agent issue tracking, and management",true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,false,true,true,L2,tarball,effect,gen|service|error|primitives|stream|schema,false,25
browser-use/browsercode,https://github.com/browser-use/browsercode,716,84,14,TypeScript,2026-04-21T00:56:36Z,2026-09-04T22:20:36Z,MIT,,"TypeScript:""agent framework""|TypeScript:agent:stars>=600",The browser-native agent framework,true,agent,single-agent,0.85,manifest,true,true,true,true,false,false,false,true,L4,tarball,@effect/opentelemetry|@effect/platform-node|@effect/platform-node-shared|@effect/sql-sqlite-bun|effect,gen|service|error|concurrency|primitives|stream|schema|resource|config|platform|httpapi|sql|observability|cluster,false,947
s0ld13rr/pentestcode,https://github.com/s0ld13rr/pentestcode,700,113,5,TypeScript,2026-07-08T08:22:01Z,2026-09-02T07:13:19Z,MIT,ai-agents|ai-security|ai-security-tool|anthropic|autonomous-agents|autonomous-agents-system|gpt|multi-agent-system|offensive-security|openai|penetration-testing|penetration-testing-tools|pentest|security-automation|security-testing,TypeScript:agent:stars>=600|TypeScript:multi-agent,"PentestCode - Multi-agent AI penetration testing system with persistent engagement state, strategic coordination, and parallel autonomous operations.",true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,false,false,true,L4,tarball,@effect/opentelemetry|@effect/platform-node|@effect/platform-node-shared|@effect/sql-sqlite-bun|effect,gen|service|error|concurrency|primitives|stream|schema|resource|config|platform|httpapi|sql|observability,false,933
openteams-lab/openteams,https://github.com/openteams-lab/openteams,612,77,18,TypeScript,2026-02-08T12:35:40Z,2026-09-11T08:39:19Z,Apache-2.0,agency-agents|agentic-ai|agents|ai-team|claude-code|codex|multi-agent|multi-agent-systems|opencode|openteams|openteams-lab,"TypeScript:""AI agent""|TypeScript:agent:stars>=600|TypeScript:multi-agent","Plan, Build, and Ship — with a team of AI agents instead of one",true,agent,multi-agent,0.85,manifest,true,true,true,true,true,true,true,true,L2,tarball,@effect/platform-node|effect,gen|service|error|concurrency|primitives|stream|schema|resource|config|platform,false,41
momozi1996/momo-code,https://github.com/momozi1996/momo-code,604,4,0,TypeScript,2026-06-16T14:40:52Z,2026-08-14T11:19:17Z,NOASSERTION,agent|ai|cli|code-agent|coding|coding-agent|llm,TypeScript:agent:stars>=600|TypeScript:llm,MOMO CODE — AI coding agent that evolves with you,true,agent,coding-agent,0.8,manifest,true,true,false,false,true,false,false,true,L4,tarball,effect,gen|service|error|primitives|schema|config,false,55
paperboytm/spool,https://github.com/paperboytm/spool,590,40,11,TypeScript,2026-03-27T06:24:44Z,2026-07-27T13:19:54Z,NOASSERTION,ai-agents|claude-code|codex|codex-cli|developer-tools|electron|full-text-search|gemini-cli|linux|local-first|macos|mcp|open-source|opencode|privacy|productivity|security,TypeScript:mcp,"Store, share, and resume AI coding sessions.",true,agent,multi-agent,0.72,paths,true,true,true,false,false,true,false,true,L2,tarball,@effect/opentelemetry|effect,gen|error|concurrency|primitives|stream|resource|observability,false,19
shobcoder/shob,https://github.com/shobcoder/shob,581,0,6,TypeScript,2026-03-25T07:48:41Z,2026-08-22T08:09:12Z,MIT,ai-agents|anthropic|antigravity|antrygravitry|claude-code|cli|codex|codex-cli|cursor-ai|mcp|opencode|shob|shob-ai|skills,"TypeScript:""AI agent""|TypeScript:mcp",Shob – an AI agent that delivers high-quality coding & automation work,true,agent,coding-agent,0.85,manifest,true,true,true,true,false,false,true,true,L4,tarball,@effect/opentelemetry|@effect/platform-node|@effect/platform-node-shared|@effect/sql-sqlite-bun|effect,gen|service|error|concurrency|primitives|stream|schema|resource|config|platform|httpapi|sql|observability,false,882
maria-rcks/t1code,https://github.com/maria-rcks/t1code,520,42,8,TypeScript,2026-03-25T17:08:56Z,2026-06-03T04:47:30Z,MIT,codex|coding|llm|opentui|t3code|tui,TypeScript:llm,"T3Code, but in your terminal",true,agent,single-agent,0.92,manifest,true,true,true,false,false,false,false,true,L4,tarball,@effect/platform-node|@effect/sql-sqlite-bun|effect,gen|service|error|concurrency|primitives|stream|schema|resource|config|platform|sql|observability,false,304
morapelker/hive,https://github.com/morapelker/hive,470,57,2,TypeScript,2026-02-04T08:43:35Z,2026-09-05T20:21:00Z,MIT,,"TypeScript:""AI agent""","Project/Worktree manager, deeply integrated with AI agents to increase productivity and multitask efficiently",true,agent,single-agent,0.92,manifest,true,true,true,false,false,false,false,true,L4,tarball,effect,gen|service|error|concurrency|primitives|stream|resource|observability|cluster,false,99
smithersai/smithers,https://github.com/smithersai/smithers,412,50,10,TypeScript,2026-01-05T21:13:36Z,2026-09-14T02:33:49Z,MIT,agent-orchestration|ai-agents|background-agents|claude-code|codex|developer-tools|durable-execution|human-in-the-loop|llm|multi-agent|react|typescript|workflow-engine,TypeScript:llm|TypeScript:multi-agent|TypeScript:workflow,"Smithers is an agentic workflow framework for defining workflows in simple TypeScript configuration files and executing them quickly, durably, and reliably",true,agent,workflow-agent,0.83,paths,true,true,true,true,true,false,true,true,L4,tarball,@effect/opentelemetry|@effect/platform-bun|@effect/platform-node|@effect/platform-node-shared|@effect/sql-sqlite-bun|@effect/sql-sqlite-node|@effect/vitest|effect,gen|service|error|concurrency|primitives|stream|schema|resource|config|platform|httpapi|sql|observability|cluster,false,2306
boringcomputers/nehemiah,https://github.com/boringcomputers/nehemiah,326,43,1,TypeScript,2026-06-30T04:25:16Z,2026-08-11T22:47:45Z,Apache-2.0,ai-agents|computer-use|firecracker|golang|mcp|microvm|sandbox|svelte,TypeScript:mcp,"On-demand Linux computers you can hand to an AI — real Firecracker microVMs with a browser, terminal, coding agents, and an AI that drives them.",true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,false,false,true,L4,tarball,effect,gen|service|error|primitives|stream|schema|resource,false,4
