repo,url,stars,forks,open_issues,github_language,created_at,pushed_at,license,topics,via,description,is_agent,agent_verdict,agent_type,agent_confidence,agent_evidence_tier,has_llm,has_agent_loop,has_tool_calling,has_mcp,has_workflow,has_multi_agent,has_memory,has_streaming,effect_depth,effect_evidence,effect_deps,effect_capabilities,uses_effect_ai,effect_files
koala73/worldmonitor,https://github.com/koala73/worldmonitor,86200,13075,297,TypeScript,2026-01-08T17:26:06Z,2026-09-13T17:46:49Z,AGPL-3.0,agent|ai|dashboard|geopolitics|mcp|mcp-server|monitoring|news|opensource|osint|palantir|situation,TypeScript:agent:stars>=600|TypeScript:mcp,"Real-time global intelligence dashboard. AI-powered news aggregation, geopolitical monitoring, and infrastructure tracking in a unified situational awareness interface",true,agent,single-agent,0.8,manifest,true,true,false,true,false,false,false,true,L0,manifest-full,,,false,0
lobehub/lobehub,https://github.com/lobehub/lobehub,82454,15876,931,TypeScript,2023-05-21T07:19:12Z,2026-09-14T02:41:24Z,NOASSERTION,agent|agent-collaboration|agent-harness|ai|cao|chatgpt|chief-agent-operator|claude|deepseek|fable|gemini|glm|gpt|knowledge-base|loop-engineering|mcp|openai|skills,TypeScript:agent:stars>=600|TypeScript:mcp,"🤯 LobeHub is your Chief Agent Operator, organizing your agents into 7×24 operations by hiring, scheduling, and reporting on your entire AI team.",true,agent,mcp-agent,0.99,manifest,true,true,true,true,true,false,true,true,L0,manifest-full,,,false,0
paperclipai/paperclip,https://github.com/paperclipai/paperclip,80614,14802,5477,TypeScript,2026-03-02T15:01:51Z,2026-09-14T01:42:28Z,MIT,,TypeScript:agent:stars>=600,The open-source app everyone uses to manage agents at work,true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,false,false,true,L0,manifest-full,,,false,0
ruvnet/ruflo,https://github.com/ruvnet/ruflo,72341,8562,1000,TypeScript,2025-06-02T21:24:20Z,2026-09-14T01:48:29Z,MIT,agentic-ai|agentic-framework|agentic-workflow|agents|ai-agents|ai-assistant|ai-skills|autonomous-agents|claude-code|codex|dsh-plugin|harness|mcp-server|multi-agent|multi-agent-systems|npm|skills|swarm|swarm-intelligence|typescript,TypeScript:agent:stars>=600|TypeScript:harness|TypeScript:multi-agent|TypeScript:rag|TypeScript:workflow,"🌊 The original agent harness. Deploy intelligent multi-player swarms, coordinate autonomous workflows, and build conversational AI systems. Features adaptive memory, self-learning intelligence, federation, vector RAG integration, and native Claude Code / Codex / Hermes and many more Integrated",true,agent,mcp-agent,0.99,manifest,true,true,true,true,true,true,true,true,L0,manifest-full,,,false,0
Fission-AI/OpenSpec,https://github.com/Fission-AI/OpenSpec,68155,4685,283,TypeScript,2025-08-05T10:37:45Z,2026-09-14T01:46:20Z,MIT,ai|context-engineering|engineering|planning|prd|sdd|sdlc|spec|spec-driven-development|specification,TypeScript:coding assistant,Spec-driven development (SDD) for AI coding assistants.,true,agent,coding-agent,0.72,paths,true,false,true,false,true,false,false,false,L0,manifest-full,,,false,0
cline/cline,https://github.com/cline/cline,67952,7341,1300,TypeScript,2024-07-06T07:28:10Z,2026-09-14T02:51:44Z,Apache-2.0,,TypeScript:agent:stars>=600|TypeScript:coding assistant,"Autonomous coding agent as an SDK, IDE extension, or CLI assistant.",true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,true,false,true,L0,manifest-full,,,false,0
stablyai/orca,https://github.com/stablyai/orca,67917,4445,5900,TypeScript,2026-03-17T03:28:57Z,2026-09-14T02:55:30Z,MIT,ade|agent-ide|ai-agents|claude-code|cli|codex|cursor-agent|devtools|ghostty|ide|mobile-app|opencode|orchestration|parallel-agents|pi|terminal|worktrees|yc-backed,TypeScript:agent:stars>=600,"Orca is the ADE for working with a fleet of parallel agents. Run any coding agent with your own subscription. Available on desktop, mobile and remote runtime.",true,agent,coding-agent,0.97,manifest,true,true,true,false,false,false,true,true,L0,manifest-full,,,false,0
diegosouzapw/OmniRoute,https://github.com/diegosouzapw/OmniRoute,65776,9205,732,TypeScript,2026-02-13T12:38:31Z,2026-09-12T01:29:30Z,MIT,a2a|ai-agents|ai-gateway|anthropic|claude|claude-code|cline|codex|copilot|cursor|deepseek|free-ai|gemini|kimi|llm-gateway|mcp|openai|openai-proxy|qwen|token-saver,TypeScript:copilot|TypeScript:mcp,"Never stop coding. Free MIT AI gateway: one endpoint, 352 providers (150+ free), 1200+ models Kimi, Claude, GPT, Gemini, GLM, DeepSeek, MiniMax. Works with Claude Code, Codex, Cursor, OpenCode, Cline & Copilot. Quota-aware auto-fallback, RTK+Caveman compression saves 15-95% tokens, MCP/A2A, Desktop/PWA. Built by 550+ contributors",true,agent,mcp-agent,0.99,manifest,true,true,true,true,true,false,true,true,L0,manifest-full,,,false,0
upstash/context7,https://github.com/upstash/context7,61966,2986,64,TypeScript,2025-03-26T23:40:39Z,2026-09-11T11:52:12Z,MIT,llm|mcp|mcp-server|vibe-coding,TypeScript:llm|TypeScript:mcp,Context7 Platform -- Up-to-date code documentation for LLMs and AI code editors,true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,false,false,false,L0,manifest-full,,,false,0
ChromeDevTools/chrome-devtools-mcp,https://github.com/ChromeDevTools/chrome-devtools-mcp,51852,3640,109,TypeScript,2025-09-11T10:39:55Z,2026-09-13T00:06:25Z,Apache-2.0,browser|chrome|chrome-devtools|debugging|devtools|mcp|mcp-server|puppeteer,TypeScript:agent:stars>=600|TypeScript:mcp,Chrome DevTools for coding agents,true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,false,false,false,L0,manifest-full,,,false,0
CherryHQ/cherry-studio,https://github.com/CherryHQ/cherry-studio,51763,4958,1551,TypeScript,2024-05-24T01:56:26Z,2026-09-14T02:55:59Z,AGPL-3.0,agent-skills|ai-agent|claude-code|codex|deepseek|deepseek-harness|hermes-agent|skills|vibe-coding,TypeScript:agent:stars>=600|TypeScript:llm,"AI productivity studio with smart chat, autonomous agents, and 300+ assistants. Unified access to frontier LLMs",true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,false,true,true,L0,manifest-full,,,false,0
tldraw/tldraw,https://github.com/tldraw/tldraw,50341,3504,653,TypeScript,2021-05-09T11:48:37Z,2026-09-13T15:03:06Z,NOASSERTION,canvas|collaboration|design|diagram|drawing|infinite|multiplayer|react|sdk|sketch|sync|whiteboard,TypeScript:agent:stars>=600,"Build infinite canvas apps in React with the tldraw SDK. World's best, top-most agent recommended #1 five star SDK.",true,agent,mcp-agent,0.99,manifest,true,true,true,true,true,false,false,true,L0,manifest-full,,,false,0
heygen-com/hyperframes,https://github.com/heygen-com/hyperframes,49653,4536,131,TypeScript,2026-03-10T01:51:06Z,2026-09-14T02:02:32Z,Apache-2.0,ai|animation|ffmpeg|framework|gsap|html|mcp|puppeteer|rendering|typescript|video,TypeScript:agent:stars>=600|TypeScript:mcp,Write HTML. Render video. Built for agents.,true,agent,single-agent,0.8,manifest,true,true,true,false,false,false,false,true,L0,manifest-full,,,false,0
siyuan-note/siyuan,https://github.com/siyuan-note/siyuan,46333,2998,15,TypeScript,2020-08-30T09:21:35Z,2026-09-14T02:42:01Z,AGPL-3.0,agentic-ai|ai-agent|knowledge-base|local-first|markdown|mcp|note-taking|self-hosted|siyuan,"TypeScript:""AI agent""|TypeScript:agent:stars>=600|TypeScript:mcp","An open-source, privacy-first, self-hosted knowledge workspace where humans and AI agents work together 开源、隐私优先、自托管的知识工作空间，让人与智能体在此协作",true,agent,workflow-agent,0.83,paths,true,true,true,true,true,false,false,true,L0,manifest-full,,,false,0
janhq/jan,https://github.com/janhq/jan,44457,3021,527,TypeScript,2023-08-17T02:17:10Z,2026-09-11T06:02:04Z,NOASSERTION,chatgpt|gpt|llamacpp|llm|localai|open-source|self-hosted|tauri,TypeScript:llm,Jan is an open source alternative to ChatGPT that runs 100% offline on your computer.,true,agent,single-agent,0.85,manifest,true,true,true,true,false,false,false,true,L0,manifest-full,,,false,0
danny-avila/LibreChat,https://github.com/danny-avila/LibreChat,43294,8973,730,TypeScript,2023-02-12T01:06:52Z,2026-09-14T02:51:07Z,MIT,ai|anthropic|artifacts|aws|azure|chatgpt|chatgpt-clone|claude|clone|deepseek|gemini|google|gpt-5|librechat|mcp|o1|openai|responses-api|vision|webui,TypeScript:agent:stars>=600|TypeScript:mcp|TypeScript:multi-agent,"Enhanced ChatGPT Clone: Features Agents, MCP, Skills, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-5, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active",true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,false,true,true,L0,manifest-full,,,false,0
chatboxai/chatbox,https://github.com/chatboxai/chatbox,41750,4248,1286,TypeScript,2023-03-06T12:22:15Z,2026-09-10T12:13:54Z,GPL-3.0,assistant|chatbot|chatgpt|claude|claude-code|copilot|deepseek|gemini|gpt|gpt-5|ollama|openai,TypeScript:chatbot|TypeScript:copilot,Powerful AI Client,true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,true,false,true,L0,manifest-full,,,false,0
novuhq/novu,https://github.com/novuhq/novu,39983,4486,108,TypeScript,2021-08-26T15:22:44Z,2026-09-13T07:56:02Z,NOASSERTION,agents|communication|email|inbox|infrastructure|nodejs|notification-center|notifications|novu|push-notifications|react|reactjs|sms|transactional|typescript,TypeScript:agent:stars>=600,The open-source communication infrastructure for agents and products,true,agent,workflow-agent,0.85,manifest,true,true,true,true,true,false,false,true,L0,manifest-full,,,false,0
Yeachan-Heo/oh-my-claudecode,https://github.com/Yeachan-Heo/oh-my-claudecode,39135,3501,4,TypeScript,2026-01-09T03:36:29Z,2026-09-14T01:35:31Z,MIT,agentic-coding|ai-agents|automation|claude|claude-code|multi-agent-systems|oh-my-opencode|opencode|parallel-execution|vibe-coding,TypeScript:agent:stars>=600|TypeScript:multi-agent,Teams-first Multi-agent orchestration for Claude Code,true,agent,mcp-agent,0.99,manifest,true,true,true,true,true,true,false,false,L0,manifest-full,,,false,0
bytedance/UI-TARS-desktop,https://github.com/bytedance/UI-TARS-desktop,38957,3936,444,TypeScript,2025-01-19T09:04:43Z,2026-09-11T03:56:20Z,Apache-2.0,agent|agent-tars|browser-use|computer-use|cowork|gui-agent|gui-operator|mcp|mcp-server|multimodal|tars|ui-tars|vision|vlm,"TypeScript:""AI agent""|TypeScript:agent:stars>=600|TypeScript:mcp",The Open-Source Multimodal AI Agent Stack: Connecting Cutting-Edge AI Models and Agent Infra,true,agent,workflow-agent,0.85,manifest,true,true,true,true,true,false,false,true,L0,manifest-full,,,false,0
CopilotKit/CopilotKit,https://github.com/CopilotKit/CopilotKit,37339,4628,301,TypeScript,2023-06-19T04:08:31Z,2026-09-14T01:21:03Z,MIT,agent|agent-native|agentic-ai|agents|ai|ai-agent|ai-assistant|assistant|assistant-chat-bots|copilot|copilot-chat|generative-ui|js|llm|nextjs|open-source|react|reactjs|ts|typescript,TypeScript:agent:stars>=600|TypeScript:copilot|TypeScript:llm,"The Frontend Stack for Agents & Generative UI. React, Angular, Mobile, Slack, and more.  Makers of the AG-UI Protocol",true,agent,multi-agent,0.85,manifest,true,true,true,true,true,true,false,true,L0,manifest-full,,,false,0
musistudio/claude-code-router,https://github.com/musistudio/claude-code-router,37225,3130,1137,TypeScript,2025-02-25T02:17:18Z,2026-09-14T02:45:58Z,MIT,,"TypeScript:""AI agent""|TypeScript:agent:stars>=600","One local control plane for every AI agent: route across models, fuse new capabilities, orchestrate tools, and stay fully in control.",true,agent,agent-runtime,0.85,manifest,true,true,true,true,false,false,false,true,L0,manifest-full,,,false,0
THU-MAIC/OpenMAIC,https://github.com/THU-MAIC/OpenMAIC,36522,5790,264,TypeScript,2026-03-11T10:13:16Z,2026-09-13T16:14:25Z,MIT,,TypeScript:agent:stars>=600|TypeScript:multi-agent,"Open Multi-Agent Interactive Classroom — Get an immersive, multi-agent learning experience in just one click",true,agent,mcp-agent,0.99,manifest,true,true,true,true,true,false,false,true,L0,manifest-full,,,false,0
medusajs/medusa,https://github.com/medusajs/medusa,36286,5235,196,TypeScript,2020-01-18T13:39:04Z,2026-09-13T23:50:18Z,NOASSERTION,ai-coding|ai-tools|commerce|e-commerce|ecommerce|framework|javascript|medusa|nodejs|react|typescript,TypeScript:agent:stars>=600,The world's most flexible commerce platform for agents and developers,true,agent,workflow-agent,0.83,paths,true,true,true,true,true,false,true,true,L0,manifest-full,,,false,0
continuedev/continue,https://github.com/continuedev/continue,35896,5375,959,TypeScript,2023-05-24T03:39:39Z,2026-09-13T14:21:41Z,Apache-2.0,agent|ai|cli|developer-tools|open-source,TypeScript:agent:stars>=600,open-source coding agent,true,agent,mcp-agent,0.99,manifest,true,true,true,true,true,false,false,true,L0,manifest-full,,,false,0
gitroomhq/postiz-app,https://github.com/gitroomhq/postiz-app,35760,6855,306,TypeScript,2023-07-08T17:24:22Z,2026-09-14T02:28:33Z,AGPL-3.0,nextjs|open-source|open-source-social-media-scheduling-tool|oss|redis|scheduling-tool|social-media-scheduling-tool|typescript,TypeScript:agent:stars>=600,📨 The ultimate agentic social media scheduling tool 🤖,true,agent,mcp-agent,0.99,manifest,true,true,true,true,true,true,false,true,L0,manifest-full,,,false,0
linshenkx/prompt-optimizer,https://github.com/linshenkx/prompt-optimizer,34640,4054,8,TypeScript,2025-02-12T06:06:49Z,2026-09-11T01:21:20Z,NOASSERTION,ai-prompts|ai-tools|llm|prompt|prompt-engineering|prompt-optimization|prompt-optimizer|prompt-testing|prompt-toolkit|prompt-tuning,TypeScript:llm,An AI prompt optimizer for writing better prompts and getting better AI results.,true,agent,mcp-agent,0.99,manifest,true,true,true,true,true,false,false,true,L0,manifest-full,,,false,0
langfuse/langfuse,https://github.com/langfuse/langfuse,34552,3764,928,TypeScript,2023-05-18T17:47:09Z,2026-09-14T02:45:09Z,NOASSERTION,analytics|autogen|evaluation|langchain|large-language-models|llama-index|llm|llm-evaluation|llm-observability|llmops|monitoring|observability|open-source|openai|playground|prompt-engineering|prompt-management|self-hosted|ycombinator,TypeScript:agent:stars>=600|TypeScript:llm,"🪢 Open source agent evals & observability: Trace, evaluate, and improve LLM applications with one open platform.",true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,true,false,true,L0,manifest-full,,,false,0
Yeachan-Heo/oh-my-codex,https://github.com/Yeachan-Heo/oh-my-codex,33131,2535,1,TypeScript,2026-02-02T14:21:18Z,2026-09-13T03:42:08Z,MIT,,TypeScript:agent:stars>=600,"OmX - Oh My codeX: Your codex is not alone. Add hooks, agent teams, HUDs, and so much more.",true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,true,false,true,L0,manifest-full,,,false,0
iOfficeAI/AionUi,https://github.com/iOfficeAI/AionUi,32795,3384,900,TypeScript,2025-08-07T10:29:51Z,2026-09-09T07:57:01Z,Apache-2.0,acp|agent-team|ai|ai-agent|chat|chatbot|claude-code|clawdbot|codex|cowork|gemini|gemini-cli|hermes|llm|nano-banana|office|openclaw|opencode|skills|webui,TypeScript:agent:stars>=600|TypeScript:chatbot|TypeScript:coding assistant|TypeScript:llm,"Open-source 24/7 Cowork app for OpenClaw, Hermes, Claude Code, Codex, OpenCode and 20+ more CLI Agent | Customize your assistants | Team them up｜Star if you like it!",true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,true,true,true,L0,manifest-full,,,false,0
SigNoz/signoz,https://github.com/SigNoz/signoz,32087,2484,1558,TypeScript,2021-01-03T12:44:36Z,2026-09-11T14:56:46Z,NOASSERTION,apm|application-monitoring|distributed-tracing|go|good-first-issue|jaeger|log|logs|metrics|monitoring|nextjs|observability|open-source|opentelemetry|prometheus|react|reactjs|self-hosted|tracing|typescript,"TypeScript:""AI agent""|TypeScript:agent:stars>=600|TypeScript:mcp","SigNoz is an open-source, OpenTelemetry-native observability platform for your team and their AI agents. Get logs, metrics, and traces in one tool with features like APM, distributed tracing, log management, infra monitoring, etc. Combined with SigNoz MCP and a native AI teammate (in SigNoz Cloud) it helps you build more resilient apps.",true,agent,workflow-agent,0.77,paths,true,true,true,false,true,false,false,true,L0,manifest-full,,,false,0
can1357/oh-my-pi,https://github.com/can1357/oh-my-pi,30985,3220,2907,TypeScript,2025-12-31T14:01:28Z,2026-09-14T02:26:57Z,MIT,ai-agent|ai-coding-agent|anthropic|bun|claude|cli|coding-assistant|llm|mcp|multi-provider|openai|rust|terminal|tui|typescript,TypeScript:agent:stars>=600|TypeScript:llm|TypeScript:mcp,⌥ Coding agent with the IDE wired in,true,agent,coding-agent,0.83,paths,true,true,true,true,false,false,true,true,L0,manifest-full,,,false,0
nanocoai/nanoclaw,https://github.com/nanocoai/nanoclaw,30761,12834,1109,TypeScript,2026-01-31T15:47:22Z,2026-09-13T23:51:01Z,MIT,ai-agents|ai-assistant|claude-code|claude-skills|openclaw,TypeScript:agent:stars>=600,"A lightweight alternative to OpenClaw that runs in containers for security. Connects to WhatsApp, Telegram, Slack, Discord, Gmail and other messaging apps,, has memory, scheduled jobs, and runs directly on Anthropic's Agents SDK",true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,true,true,true,L0,manifest-full,,,false,0
ComposioHQ/composio,https://github.com/ComposioHQ/composio,30160,4791,91,TypeScript,2024-02-23T13:58:27Z,2026-09-14T01:05:17Z,MIT,agentic-ai|agents|ai|ai-agents|aiagents|developer-tools|function-calling|gpt-4|javascript|js|llm|llmops|mcp|python|remote-mcp-server|sse|typescript,"TypeScript:""AI agent""|TypeScript:agent:stars>=600|TypeScript:llm|TypeScript:mcp","Composio powers 1000+ toolkits, tool search, context management, authentication, and a sandboxed workbench to help you build AI agents that turn intent into action.",true,agent,multi-agent,0.97,manifest,true,true,true,true,false,true,false,true,L4,tarball,@effect/platform-bun|effect,gen|service|error|concurrency|primitives|stream|schema|resource|config|platform|observability|cli,false,286
garrytan/gbrain,https://github.com/garrytan/gbrain,29888,4460,240,TypeScript,2026-04-05T14:40:56Z,2026-09-11T00:27:35Z,MIT,,TypeScript:agent:stars>=600,Garry's Opinionated OpenClaw/Hermes Agent Brain,true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,false,true,true,L0,manifest-full,,,false,0
labring/FastGPT,https://github.com/labring/FastGPT,29638,7313,176,TypeScript,2023-02-23T16:53:25Z,2026-09-14T02:39:04Z,NOASSERTION,agent|claude|deepseek|llm|mcp|nextjs|openai|qwen|rag|workflow,TypeScript:agent:stars>=600|TypeScript:llm|TypeScript:mcp|TypeScript:rag|TypeScript:workflow,"FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the need for extensive setup or configuration.",true,agent,mcp-agent,0.99,manifest,true,true,true,true,true,true,true,true,L0,manifest-full,,,false,0
simstudioai/sim,https://github.com/simstudioai/sim,29626,3826,347,TypeScript,2025-01-05T22:47:49Z,2026-09-13T07:30:58Z,Apache-2.0,agent-workflow|agentic-workflow|agents|ai|aiagents|anthropic|artificial-intelligence|automation|chatbot|deepseek|gemini|low-code|nextjs|no-code|openai|rag|react|typescript,"TypeScript:""AI agent""|TypeScript:agent:stars>=600|TypeScript:chatbot|TypeScript:rag|TypeScript:workflow","Sim is the collaborative workspace to build, deploy, and monitor AI agents and workflows. Used by 100,000+ builders.",true,agent,mcp-agent,0.99,manifest,true,true,true,true,true,false,true,true,L0,manifest-full,,,false,0
nrwl/nx,https://github.com/nrwl/nx,29325,2996,485,TypeScript,2017-08-11T18:50:23Z,2026-09-13T22:05:56Z,MIT,angular|build|build-system|build-tool|building-tool|cli|cypress|hacktoberfest|javascript|monorepo|nextjs|nodejs|nx|nx-workspaces|react|storybook|typescript,"TypeScript:""AI agent""|TypeScript:agent:stars>=600","The Monorepo Platform that amplifies both developers and AI agents. Nx optimizes your builds, scales your CI, and fixes failed PRs automatically. Ship in half the time.",true,agent,workflow-agent,0.85,manifest,true,true,true,true,true,false,false,true,L0,manifest-full,,,false,0
alibaba/page-agent,https://github.com/alibaba/page-agent,29065,2596,87,TypeScript,2025-09-23T09:30:17Z,2026-09-10T18:15:38Z,MIT,agent|ai|ai-agents|browser-automation|javascript|mcp|typescript|web,TypeScript:agent:stars>=600|TypeScript:mcp,JavaScript in-page GUI agent. Control web interfaces with natural language.,true,agent,mcp-agent,0.99,manifest,true,true,true,true,false,false,false,false,L0,manifest-full,,,false,0
rohitg00/agentmemory,https://github.com/rohitg00/agentmemory,28409,2460,587,TypeScript,2026-02-25T07:32:52Z,2026-09-07T06:13:17Z,Apache-2.0,agentmemory|agents|ai|claude|claudecode|codex|copilot|cursor|genai|harness|hermes|memory|openclaw,TypeScript:agent:stars>=600|TypeScript:copilot|TypeScript:harness,#1 Persistent memory for AI coding agents based on real-world benchmarks,true,agent,coding-agent,0.97,manifest,true,true,true,true,false,false,true,false,L0,manifest-full,,,false,0
Budibase/budibase,https://github.com/Budibase/budibase,28278,2212,276,TypeScript,2019-06-07T11:03:41Z,2026-09-13T02:11:43Z,NOASSERTION,ai-app-builder|ai-applications|crud-app|crud-application|data-application|data-apps|internal-tools|it-workflows|low-code|low-code-no-code|low-code-platform|no-code|no-code-platform|open-source|rest-api-framework|sql-gui|workflow-apps|workflow-automation|workflow-engine,"TypeScript:""AI agent""|TypeScript:agent:stars>=600","AI agents, automations and apps that run your operations. Model agnostic.",true,agent,single-agent,0.8,manifest,true,true,true,false,false,false,false,false,L0,manifest-full,,,false,0
